0.00461518,-0.000191806,0.0634103,0.0239316,0.000132561,0.0882014,-1.72086e-07,1,
0.00598402,-0.000191806,-0.033293,-0.0991453,0.000525642,0.176259,-1.24324e-05,1,
0.00858506,-0.000191806,-0.0655275,-0.105983,0.00117425,0.264018,-8.0437e-05,1,
0.0115838,-0.000575418,-0.129996,-0.153846,0.00206478,0.351357,-0.000264602,1,
0.0145741,-0.00134264,-0.162231,-0.188034,0.00317779,0.438009,-0.000674774,1,
0.0175823,-0.00210986,-0.210582,-0.222222,0.00448959,0.523707,-0.00143112,1,
0.0205838,-0.0032607,-0.355637,-0.270085,0.00597359,0.608099,-0.00267764,1,
0.0235831,-0.00402792,-0.307286,-0.317949,0.00760194,0.690841,-0.00453722,1,
0.0265761,-0.00517876,-0.371755,-0.393162,0.00934362,0.771579,-0.00711567,1,
0.0295841,-0.00594598,-0.258934,-0.447863,0.0111755,0.850187,-0.0103971,1,
0.0325841,-0.00671321,-0.2267,-0.488889,0.0130811,0.926278,-0.0144639,1,
0.035586,-0.00748043,-0.0977619,-0.509402,0.0150341,0.99943,-0.0193942,1,
0.0385866,-0.00786404,-0.113879,-0.54359,0.0170138,1.06906,-0.0253157,1,
0.0415843,-0.00786404,-0.00105861,-0.564103,0.0190142,1.13516,-0.032104,1,
0.0445852,-0.00786404,0.047293,-0.516239,0.0210241,1.19754,-0.0397222,1,
0.0475841,-0.00786404,-0.0171758,-0.488889,0.0230195,1.25547,-0.0483348,1,
0.0505819,-0.00786404,0.0311758,-0.454701,0.0249527,1.30718,-0.058471,1,
0.0535829,-0.00748043,0.0150586,-0.42735,0.0267961,1.35161,-0.0703378,1,
0.056585,-0.00748043,0.0150586,-0.406838,0.0285372,1.38919,-0.0835708,1,
0.0595808,-0.00748043,0.0956447,-0.393162,0.0301546,1.41971,-0.0980746,1,
0.0625727,-0.00709682,0.0150586,-0.37265,0.031596,1.44119,-0.114378,1,
0.0655841,-0.00709682,0.047293,-0.345299,0.032885,1.45497,-0.131837,1,
0.0685841,-0.00709682,0.0311758,-0.331624,0.0339707,1.45995,-0.150677,1,
0.071572,-0.00709682,0.0311758,-0.338462,0.0348549,1.45682,-0.170546,1,
0.0745867,-0.00709682,0.047293,-0.345299,0.0355494,1.44646,-0.191071,1,
0.077581,-0.00709682,0.0150586,-0.338462,0.0360026,1.42703,-0.212746,1,
0.0805852,-0.00709682,-0.00105861,-0.311111,0.0362516,1.40065,-0.234848,1,
0.0835836,-0.00671321,0.0634103,-0.304274,0.0363181,1.3683,-0.257072,1,
0.0865863,-0.00671321,-0.00105861,-0.317949,0.0362141,1.33072,-0.279214,1,
0.0895845,-0.00709682,-0.0171758,-0.283761,0.0358741,1.28579,-0.301872,1,
0.0925846,-0.00671321,-0.00105861,-0.304274,0.035429,1.23866,-0.323638,1,
0.0955844,-0.00671321,0.0150586,-0.304274,0.0348052,1.18661,-0.345312,1,
0.0985876,-0.00671321,-0.0171758,-0.311111,0.0340541,1.13192,-0.36633,1,
0.101585,-0.00671321,0.0311758,-0.297436,0.0332238,1.07662,-0.386242,1,
0.104585,-0.00671321,-0.0171758,-0.311111,0.0322749,1.01893,-0.405587,1,
0.107584,-0.00671321,0.0311758,-0.304274,0.0312723,0.96154,-0.423762,1,
0.110585,-0.00671321,0.0150586,-0.290598,0.030185,0.903048,-0.441202,1,
0.113584,-0.00671321,-0.00105861,-0.283761,0.0290796,0.846123,-0.457319,1,
0.116572,-0.00671321,-0.0171758,-0.290598,0.0278997,0.788319,-0.472802,1,
0.119585,-0.00671321,-0.00105861,-0.276923,0.0267209,0.732627,-0.486993,1,
0.122586,-0.00671321,-0.0171758,-0.276923,0.0255331,0.678502,-0.500106,1,
0.125584,-0.00632959,0.0795275,-0.290598,0.0244058,0.628009,-0.511735,1,
0.128584,-0.00671321,-0.0494103,-0.297436,0.0232065,0.576466,-0.523057,1,
0.131584,-0.00632959,0.0311758,-0.283761,0.0220232,0.527031,-0.533367,1,
0.134585,-0.00632959,0.0311758,-0.297436,0.0208112,0.478131,-0.543081,1,
0.137584,-0.00671321,-0.00105861,-0.304274,0.0196441,0.432575,-0.551605,1,
0.140586,-0.00671321,0.0311758,-0.283761,0.0184918,0.38891,-0.559326,1,
0.143585,-0.00671321,0.0150586,-0.317949,0.0174027,0.348645,-0.565949,1,
0.146586,-0.00671321,0.0311758,-0.283761,0.016263,0.308099,-0.572355,1,
0.149585,-0.00632959,-0.033293,-0.290598,0.0151458,0.26904,-0.578166,1,
0.152583,-0.00632959,-0.00105861,-0.297436,0.0141232,0.234662,-0.582698,1,
0.155581,-0.00632959,-0.00105861,-0.290598,0.0131315,0.202089,-0.586642,1,
0.158586,-0.00632959,-0.00105861,-0.290598,0.0121997,0.17253,-0.589761,1,
0.161584,-0.00632959,0.0634103,-0.283761,0.0112087,0.141867,-0.592998,1,
0.164582,-0.00671321,-0.0494103,-0.324786,0.0102302,0.112687,-0.595785,1,
0.167572,-0.00671321,-0.00105861,-0.317949,0.00937707,0.0885768,-0.597348,1,
0.170574,-0.00671321,-0.0655275,-0.304274,0.00847041,0.0633724,-0.599095,0.999994,
0.17358,-0.00632959,0.047293,-0.317949,0.007699,0.0433703,-0.599621,0.999658,
0.176584,-0.00671321,-0.0171758,-0.317949,0.00686388,0.0214882,-0.600545,0.973164,
0.17958,-0.00671321,0.0311758,-0.304274,0.00608117,0.00251386,-0.600791,0.246221,
0.182586,-0.00671321,-0.0171758,-0.365812,0.00534093,-0.0147568,-0.600657,-0.900655,
0.185581,-0.00671321,-0.0494103,-0.447863,0.00449707,-0.0353285,-0.601266,-0.998294,
0.188585,-0.00709682,-0.146114,-0.482051,0.00350703,-0.0605477,-0.602885,-0.999989,
0.191583,-0.00748043,-0.162231,-0.523077,0.00252552,-0.08422,-0.604105,-1,
0.194573,-0.00786404,-0.0977619,-0.557265,0.00158115,-0.105311,-0.604707,-1,
0.197585,-0.00824765,-0.0977619,-0.605128,0.000659228,-0.124349,-0.604829,-1,
0.200585,-0.00863127,-0.129996,-0.646154,-0.000155938,-0.138876,-0.603953,-1,
0.203586,-0.00863127,-0.033293,-0.673504,-0.000900707,-0.150106,-0.602372,-1,
0.206587,-0.00901488,-0.0655275,-0.694017,-0.00161371,-0.159951,-0.600551,-1,
0.209586,-0.00901488,-0.0494103,-0.707692,-0.00233535,-0.169741,-0.598786,-1,
0.212581,-0.00939849,-0.033293,-0.721368,-0.00295424,-0.17544,-0.596184,-1,
0.215572,-0.00939849,-0.0655275,-0.721368,-0.00356957,-0.18089,-0.593633,-1,
0.218586,-0.00939849,-0.0655275,-0.71453,-0.00418973,-0.186735,-0.591268,-1,
0.221584,-0.0097821,-0.0171758,-0.755556,-0.00476755,-0.190812,-0.588597,-1,
0.224584,-0.0097821,-0.0655275,-0.762393,-0.00534806,-0.194963,-0.586049,-1,
0.227581,-0.0097821,-0.00105861,-0.762393,-0.00585436,-0.196616,-0.583044,-1,
0.230586,-0.0101657,-0.0655275,-0.782906,-0.00639493,-0.199356,-0.580403,-1,
0.233584,-0.0101657,-0.0494103,-0.735043,-0.00687138,-0.199894,-0.577371,-1,
0.236585,-0.0101657,-0.033293,-0.755556,-0.00734038,-0.200512,-0.574475,-1,
0.239584,-0.0105493,-0.0655275,-0.776068,-0.00780489,-0.201039,-0.571679,-1,
0.242586,-0.0105493,-0.0171758,-0.748718,-0.00819138,-0.198866,-0.568385,-1,
0.245594,-0.0105493,-0.00105861,-0.782906,-0.00857804,-0.197123,-0.565308,-1,
0.248612,-0.0109329,-0.0171758,-0.796581,-0.00895786,-0.195257,-0.562333,-1,
0.251612,-0.0105493,0.0150586,-0.769231,-0.00923318,-0.189988,-0.55871,-1,
0.254622,-0.0105493,0.0150586,-0.769231,-0.00952217,-0.185601,-0.555425,-1,
0.257618,-0.0109329,-0.0816447,-0.776068,-0.00984731,-0.182991,-0.552674,-1,
0.260611,-0.0109329,-0.0977619,-0.776068,-0.0101565,-0.180345,-0.550026,-1,
0.263618,-0.0113165,-0.0494103,-0.789744,-0.0104324,-0.176798,-0.547277,-1,
0.266596,-0.0113165,-0.00105861,-0.776068,-0.0106433,-0.171102,-0.54415,-1,
0.269618,-0.0109329,-0.0494103,-0.796581,-0.0108697,-0.166213,-0.54133,-1,
0.272618,-0.0113165,-0.0494103,-0.803419,-0.0110971,-0.16213,-0.538805,-1,
0.275617,-0.0113165,-0.033293,-0.762393,-0.0112928,-0.157071,-0.536159,-1,
0.278619,-0.0113165,-0.0171758,-0.796581,-0.0114342,-0.150449,-0.533265,-1,
0.281618,-0.0113165,-0.0171758,-0.796581,-0.0115831,-0.144736,-0.530687,-1,
0.284618,-0.0113165,0.0150586,-0.803419,-0.0117344,-0.13969,-0.528358,-1,
0.287618,-0.0117002,-0.0171758,-0.796581,-0.0118597,-0.133999,-0.525974,-1,
0.290621,-0.0113165,-0.00105861,-0.796581,-0.0119527,-0.127744,-0.523564,-1,
0.293618,-0.0113165,0.0311758,-0.823932,-0.012033,-0.121367,-0.521219,-1,
0.296612,-0.0113165,-0.0494103,-0.810256,-0.0121685,-0.117283,-0.51948,-1,
0.299617,-0.0113165,-0.0171758,-0.817094,-0.0122379,-0.111073,-0.517333,-1,
0.30262,-0.0117002,-0.00105861,-0.823932,-0.0123234,-0.105861,-0.515492,-1,
0.30559,-0.0117002,-0.0494103,-0.830769,-0.0124103,-0.101212,-0.513853,-1,
0.308615,-0.0117002,0.047293,-0.803419,-0.0124876,-0.0966348,-0.512288,-1,
0.31162,-0.0117002,0.0311758,-0.803419,-0.0125164,-0.090429,-0.510419,-1,
0.314614,-0.0117002,0.0311758,-0.810256,-0.0125438,-0.0846595,-0.508726,-1,
0.317619,-0.0117002,-0.0171758,-0.810256,-0.0125754,-0.0795065,-0.507238,-1,
